city_state,weight_distance,from_dallas,from_away
Bay Shore_NY,11223208652.212452,1403,1235
Bayamon_PR,14862603396.498692,2567,71
Baytown_TX,15065441121.356733,2024,614
Beachwood_OH,10519765783.864582,1092,1546
Bear_DE,10648802678.433113,1234,1404
Beaufort_SC,11338291814.164877,1163,1475
Beaumont_CA,11525864608.872215,2095,543
Beaumont_TX,14883221813.976427,1511,1127
Beaver Falls_PA,10393967101.596642,1083,1555
Beaver_PA,10383165448.200132,1080,1558
Beaverton_OR,12740989098.79443,2146,492
Beckley_WV,10259515089.85205,1034,1604
Bedford_IN,10821876826.29079,939,1699
Bedford_OH,10502469894.53363,1087,1551
Bedford_TX,15346862011.442337,1891,747
Bedford_VA,10318798310.895782,1111,1527
Beebe_AR,12913721842.037977,828,1810
Beeville_TX,15335002698.821112,2451,187
Bel Air_MD,10537696968.482918,1205,1433
Belgrade_MN,13514969382.501907,1276,1362
Belgrade_MT,13214608005.561705,2045,593
Bell Gardens_CA,11458247219.032856,2101,537
Bellbrook_OH,10429415864.371815,998,1640
Belle Vernon_PA,10317452302.177711,1080,1558
Bellefonte_PA,10556977775.44683,1180,1458
Belleville_IL,11808073751.640072,892,1746
Belleville_MI,10766016433.958902,1111,1527
Bellevue_NE,13409557568.590738,976,1662
Bellevue_WA,13128486142.265442,2150,488
Bellflower_CA,11467383592.986862,2101,537
Bellingham_WA,13404090897.649158,2154,484
Bellmore_NY,11144368493.658741,1369,1269
Belmont_CA,11633927515.112457,2108,530
Beloit_WI,11715365256.23473,1074,1564
Belton_MO,13238957216.40539,871,1767
Belton_SC,10789003830.537033,1061,1577
Belton_TX,15320457587.936787,2245,393
Bemidji_MN,13842950994.88152,1412,1226
Bend_OR,12451351100.725063,2124,514
Benson_AZ,12678914066.840805,2049,589
Benton Harbor_MI,11107834278.551414,1102,1536
Bentonville_AR,13556263906.437782,687,1951
Berea_KY,10486825346.573292,971,1667
Bergenfield_NJ,11062412530.701199,1358,1280
Berkeley_CA,11646000344.495247,2109,529
Berwick_PA,10734915428.606884,1265,1373
Berwyn_IL,11303112301.789124,1078,1560
Berwyn_PA,10708967207.69525,1257,1381
Bessemer_AL,11778857106.240574,980,1658
Bethany_WV,10312531327.951115,1065,1573
Bethesda_MD,10418323553.538694,1177,1461
Bethlehem_GA,11027915694.266197,1038,1600
Bethlehem_PA,10782305582.725685,1278,1360
Bettendorf_IA,11992427443.63956,1050,1588
Beverly Hills_CA,11452010711.583906,2101,537
Beverly_MA,11975086808.043217,1668,970
Biddeford_ME,12206055467.210691,1695,943
Big Lake_MN,13245476998.693111,1279,1359
Billings_MO,13197321569.335278,729,1909
Billings_MT,13477016346.554028,2012,626
Binghamton_NY,10995490100.175314,1355,1283
Birch Run_MI,11062104456.011028,1175,1463
Birmingham_AL,11692164855.876842,977,1661
Bismarck_ND,14362831989.545486,1755,883
Bixby_OK,14170431860.751621,719,1919
Blacksburg_VA,10303222631.321308,1070,1568
Blackwood_NJ,10768037211.695518,1261,1377
Bladensburg_MD,10442385528.112568,1182,1456
Blaine_WA,13466465411.401138,2155,483
Blairsville_GA,10837804810.589117,1005,1633
Bloomfield_IN,10922578665.882412,935,1703
Bloomfield_NM,12660928144.031261,2026,612
Bloomingdale_IL,11388753504.248735,1076,1562
Bloomington_CA,11475935058.279804,2097,541
Bloomington_IL,11504231646.87629,977,1661
Bloomington_IN,10827923124.342018,941,1697
Blountville_TN,10416646313.314812,1011,1627
Blue Island_IL,11256499651.152876,1069,1569
Blue Point_NY,11280743166.05535,1427,1211
Blue Ridge_GA,10886078762.389986,988,1650
Blue Springs_MO,13141182551.031347,888,1750
Bluefield_WV,10299734501.349354,1035,1603
Blytheville_AR,12051170135.88557,864,1774
Boca Raton_FL,13173031542.483036,1650,988
Boerne_TX,15197247952.300476,2170,468
Boise_ID,12432161823.308723,2073,565
Bolingbrook_IL,11357794503.47565,1066,1572
Bonham_TX,14972616081.999863,592,2046
Bonita Springs_FL,13270800821.282427,1632,1006
Bonita_CA,11728037273.273792,2100,538
Bonney Lake_WA,13042149637.893862,2149,489
Boone_NC,10433627328.39892,1052,1586
Booneville_MS,11883373470.278461,902,1736
Boonton_NJ,10981587238.215168,1337,1301
Boonville_IN,11041474518.331322,923,1715
Bossier City_LA,14217154890.738941,857,1781
Boston_MA,11893463294.573954,1650,988
Bothell_WA,13169345145.257702,2151,487
Boulder_CO,13171150727.663652,1938,700
Bound Brook_NJ,10916597039.732779,1313,1325
Bountiful_UT,12313270506.687399,2041,597
Bourbon_MO,12258819777.830788,855,1783
Bourbonnais_IL,11258137474.282543,1026,1612
Bowie_MD,10468438122.264095,1191,1447
Bowling Green_KY,10929942413.714579,940,1698
Bowling Green_MO,12184373468.077377,891,1747
Bowling Green_OH,10611725253.571775,1052,1586
Boynton Beach_FL,13128535228.737478,1636,1002
Bozeman_MT,13206523935.20206,2043,595
Bradenton_FL,12984415858.242138,1522,1116
Bradford_PA,10717543105.45573,1190,1448
Bradley Beach_NJ,11006365580.713936,1323,1315
Brainerd_MN,13512185135.608568,1360,1278
Brandon_MS,12960533732.75593,968,1670
Brea_CA,11465926010.244865,2098,540
Breaux Bridge_LA,14181279911.541649,1207,1431
Bremerton_WA,13137229413.479795,2150,488
Brentwood_CA,11597227305.093948,2106,532
Brentwood_NY,11226884672.898466,1407,1231
Brentwood_TN,11139773805.06419,942,1696
Bridgeport_CT,11284068393.372265,1432,1206
Bridgeport_NY,11237243909.02697,1395,1243
Bridgeville_DE,10674483365.518364,1218,1420
Bridgeville_PA,10338629587.132278,1076,1562
Brighton_CO,13245392817.856506,1930,708
Brighton_MI,10867281044.637747,1146,1492
Brighton_TN,12074559474.471981,861,1777
Bristol_CT,11409423838.125528,1473,1165
Broadview Heights_OH,10490248079.086737,1079,1559
Brockton_MA,11874733483.73825,1650,988
Broken Arrow_OK,14120686033.970333,727,1911
Broken Bow_NE,13873590323.940344,1104,1534
Bronx_NY,11080501082.588465,1361,1277
Bronxville_NY,11102205675.331696,1368,1270
Brookfield_WI,11624277291.61687,1117,1521
Brookhaven_MS,13319401445.83125,991,1647
Brooklyn_NY,11038750698.432444,1352,1286
Brooksville_FL,12623308831.55048,1406,1232
Broomfield_CO,13199913766.215899,1932,706
Browns Mills_NJ,10875977554.702366,1283,1355
Brownsburg_IN,10816266863.77723,955,1683
Brownsville_PA,10305525730.354156,1077,1561
Brownsville_TX,15367516945.860306,2519,119
Brunswick_OH,10479622354.902407,1075,1563
Bryan_OH,10724454145.87702,1056,1582
Bryan_TX,15252108674.326473,2255,383
Buckeye_AZ,12089748305.666471,2050,588
Budd Lake_NJ,10919837106.8138,1322,1316
Buena Park_CA,11471523778.953003,2101,537
Buena Vista_CO,12983294053.661594,1963,675
Buffalo Grove_IL,11396120390.030989,1089,1549
Buffalo_NY,10939655283.855427,1251,1387
Buford_GA,11011324688.131382,1025,1613
Bullhead City_AZ,11710402207.945549,2053,585
Burbank_CA,11441366090.434227,2101,537
Burke_VA,10404591116.81639,1173,1465
Burleson_TX,15325050129.687202,1932,706
Burlingame_CA,11644478109.151604,2109,529
Burlington_IA,12145513490.555786,1006,1632
Burlington_KY,10493315969.959604,976,1662
Burlington_NC,10480244827.807697,1122,1516
Burlington_WA,13332943815.907043,2153,485
Burlington_WI,11569372519.923578,1083,1555
Burnet_TX,15214650159.931152,2137,501
Burnsville_MN,13054214521.438744,1223,1415
Hampton_GA,11252597720.223831,1031,1607
Hampton_VA,10694078399.781017,1198,1440
Hamtramck_MI,10782191870.877213,1137,1501
Hanford_CA,11444374073.150726,2101,537
Hannibal_MO,12233021993.2863,911,1727
Hanover Park_IL,11407058754.901293,1075,1563
Hanover_PA,10475595611.607166,1187,1451
Harlingen_TX,15372875303.468079,2510,128
Harpers Ferry_WV,10369140480.364573,1161,1477
Harrisburg_NC,10575104149.616642,1101,1537
Harrisburg_PA,10538434440.905865,1213,1425
Harrison_AR,13166416045.55508,790,1848
Harrison_OH,10507195302.713873,978,1660
Harrisonburg_VA,10287194109.531895,1123,1515
Hartford_CT,11479677399.513084,1500,1138
Hartford_MI,11080693841.248535,1109,1529
Hartland_WI,11678268247.860176,1129,1509
Hartsville_SC,10809083927.590836,1126,1512
Harvest_AL,11350904143.890305,938,1700
Harvey_LA,13724947725.948696,1233,1405
Hastings_FL,12191388308.558819,1347,1291
Hastings_MN,12958834021.968666,1223,1415
Hatboro_PA,10777498213.573856,1272,1366
Hatillo_PR,14852423313.741774,2565,73
Hattiesburg_MS,13053799025.38245,1011,1627
Haverhill_MA,11966008694.749924,1660,978
Havre_MT,13889689646.51905,2071,567
Hawthorne_CA,11468857966.521587,2101,537
Hawthorne_NJ,11035466636.200626,1353,1285
Hayden_ID,13234576953.470745,2135,503
Hayward_CA,11612819478.854008,2108,530
Hazel Park_MI,10800650804.997763,1140,1498
Hazlehurst_GA,11577118846.533016,1138,1500
Hebron_KY,10491752766.080818,976,1662
Butler_NJ,11006697318.182785,1343,1295
Butler_PA,10422572654.51093,1106,1532
Butte_MT,13112484771.872776,2063,575
Cabo Rojo_PR,14855214419.288618,2565,73
Cadiz_KY,11281500208.281696,904,1734
Caguas_PR,14867365407.366558,2570,68
Cairo_GA,12077878031.246262,1186,1452
Calabasas_CA,11461095392.139454,2102,536
Caldwell_ID,12422621596.87837,2079,559
Caldwell_NJ,10995349046.909277,1338,1300
Caledonia_MI,11119740724.689981,1144,1494
Caledonia_MN,12485717601.63292,1156,1482
Calhoun_GA,11061263406.567486,981,1657
Calumet City_IL,11224255090.058086,1064,1574
Camarillo_CA,11477057969.624752,2102,536
Cambridge_MA,11894887556.320766,1647,991
Cambridge_OH,10296798360.83964,1039,1599
Camden_NJ,10763023927.332748,1266,1372
Camdenton_MO,12797341004.799147,793,1845
Cameron_NC,10635045071.087467,1134,1504
Camilla_GA,11954928686.64468,1113,1525
Camp Hill_PA,10529584517.377563,1207,1431
Camuy_PR,14852151092.358654,2565,73
Canal Winchester_OH,10328263814.533068,1016,1622
Canfield_OH,10433362745.71885,1093,1545
Canon City_CO,13140136476.744476,1948,690
Canonsburg_PA,10325162278.763012,1071,1567
Canovanas_PR,14869688700.975857,2570,68
Canton_GA,11046056435.12748,1011,1627
Canton_IL,11820357243.49802,960,1678
Canton_OH,10395626616.419662,1058,1580
Canutillo_TX,13354011824.083305,2037,601
Canyon Lake_TX,15256151938.120049,2251,387
Canyon_TX,13990579127.177448,1945,693
Cape Coral_FL,13198841354.343096,1592,1046
Cape May Court House_NJ,10825942165.796059,1241,1397
Capitol Heights_MD,10445923962.35921,1183,1455
Captain Cook_HI,15099515212.415396,2618,20
Carbondale_IL,11611898904.647114,889,1749
Carlisle_PA,10496255223.512016,1191,1447
Carlsbad_CA,11620973155.267096,2100,538
Carmel_IN,10776629977.016909,960,1678
Carmi_IL,11274317281.965038,911,1727
Carmichael_CA,11631649044.807297,2104,534
Carnegie_PA,10345746323.28324,1078,1560
Carol Stream_IL,11394099773.811691,1074,1564
Carolina_PR,14867025753.794815,2568,70
Carpentersville_IL,11465778882.594723,1080,1558
Carrizo Springs_TX,15140730098.474884,2208,430
Carrollton_GA,11316864910.047077,1012,1626
Carrollton_TX,15371315428.891676,1015,1623
Carson City_NV,11646504080.278097,2097,541
Carson_CA,11476508738.633879,2101,537
Carter Lake_IA,13401454615.673271,987,1651
Cartersville_GA,11114490620.01324,1004,1634
Carthage_TX,14566309903.242655,899,1739
Cary_NC,10578169048.144444,1141,1497
Casa Grande_AZ,12287118349.802805,2049,589
Casper_WY,13289365320.556519,1956,682
Casselberry_FL,12511557791.564089,1418,1220
Castaic_CA,11436968775.271212,2102,536
Castle Rock_CO,13213083108.43813,1931,707
Castro Valley_CA,11614634633.583021,2108,530
Castroville_TX,15212717740.57801,2205,433
Catawissa_PA,10691342299.86222,1250,1388
Cathedral City_CA,11583922661.075377,2091,547
Catonsville_MD,10470397564.401201,1192,1446
Cayey_PR,14866627763.79632,2570,68
Cedar City_UT,11901406518.189447,2045,593
Cedar Falls_IA,12596637131.872566,1099,1539
Cedar Hill_TX,15408469242.015537,2078,560
Cedar Park_TX,15285019706.19732,2259,379
Cedar Rapids_IA,12347218171.953491,1054,1584
Cedar Springs_MI,11236511816.026775,1155,1483
Cedar_MI,11760959905.969397,1297,1341
Cedarville_OH,10406018990.600367,1001,1637
Ceiba_PR,14878894969.968449,2571,67
Center Point_IA,12391842946.295954,1067,1571
Centerville_UT,12318268677.725094,2042,596
Central Islip_NY,11241813862.18945,1412,1226
Central Point_OR,12260532862.162949,2122,516
Centralia_WA,12982916058.494759,2149,489
Centreville_VA,10385412784.282331,1166,1472
Ceres_CA,11532008318.650434,2103,535
Cerritos_CA,11469829440.366695,2101,537
Chagrin Falls_OH,10509767881.862858,1093,1545
Chalmette_LA,13678835361.390364,1222,1416
Chamberlain_SD,13984943948.742863,1205,1433
Chambersburg_PA,10423848034.3042,1162,1476
Champaign_IL,11292473165.151583,950,1688
Champlin_MN,13143389013.472374,1257,1381
Chandler_AZ,12217967888.74109,2049,589
Chanhassen_MN,13128440880.596302,1228,1410
Channelview_TX,15082693233.161356,2041,597
Chantilly_VA,10384408255.469404,1167,1471
Chapel Hill_NC,10533835460.744854,1136,1502
Chappell_NE,13682911813.127068,1691,947
Chardon_OH,10541807155.798193,1107,1531
Charles City_IA,12699978958.152176,1123,1515
Charleston_SC,11251318925.48265,1169,1469
Charleston_WV,10243624125.703787,1024,1614
Charlotte_NC,10593518190.5439,1097,1541
Charlottesville_VA,10326706338.901333,1137,1501
Chase City_VA,10449332474.702106,1143,1495
Chaska_MN,13132825350.210346,1225,1413
Chatfield_MN,12674695927.858318,1169,1469
Chattanooga_TN,10990941858.849045,970,1668
Chehalis_WA,12971359762.04544,2149,489
Chelsea_MA,11915156204.00394,1656,982
Chesapeake_VA,10762603055.95216,1204,1434
Chester_PA,10711145692.550714,1252,1386
Chester_VA,10491907125.797712,1167,1471
Chesterfield_MO,12000016829.361351,878,1760
Cheyenne_WY,13330783651.481995,1922,716
Chicago Heights_IL,11230898058.284512,1056,1582
Chicago_IL,11278946665.843603,1080,1558
Chico_CA,11805998567.658554,2107,531
Chicopee_MA,11569475655.35587,1516,1122
Chiefland_FL,12363156521.757706,1334,1304
Chillicothe_OH,10313529837.379774,1010,1628
China Grove_NC,10526937762.747946,1101,1537
Chino Hills_CA,11468245545.099808,2098,540
Chino_CA,11467602541.945208,2097,541
Chipley_FL,12327626615.412693,1128,1510
Chula Vista_CA,11736967319.963247,2100,538
Cicero_IL,11296140524.919971,1079,1559
Cidra_PR,14865530461.99931,2568,70
Cincinnati_OH,10463549420.983559,980,1658
Citrus Heights_CA,11636361312.96648,2103,535
Claremont_CA,11453244096.102848,2097,541
Clarence Center_NY,10980912316.713257,1268,1370
Clarksburg_WV,10243685248.942558,1059,1579
Clarksville_IN,10685186687.783283,955,1683
Clarksville_TN,11196327494.567472,913,1725
Claxton_GA,11444436426.385511,1137,1501
Clayton_NC,10638334379.665638,1146,1492
Clayton_NJ,10762900277.254585,1254,1384
